,Date,Time,Type,Stations,Time_code
0,20240401,02:34-04:48,CTM,"Australia-ASSA, INDIA-GAURI","['023000', '024500', '030000', '031500', '033000', '034500', '040000', '041500', '043000', '044500']"
1,20240401,05:04-05:06,III,Australia-ASSA,['050000']
2,20240401,06:59-07:00,V,"ALMATY, AUSTRIA-OE3FLB, AUSTRIA-UNIGRAZ, Australia-ASSA, BIR, GERMANY-DLR, GLASGOW, HUMAIN, HURBANOVO, INDIA-GAURI, INDIA-OOTY, INDIA-UDAIPUR, KASI, MONGOLIA-UB, MRO, NORWAY-EGERSUND, ROMANIA, SPAIN-SIGUENZA, SRI-Lanka, SSRT, SWISS-HEITERSWIL, SWISS-IRSOL, SWISS-Landschlacht, TRIEST, USA-BOSTON","['064500', '070000']"
3,20240401,10:03-10:04,III,"ALGERIA-CRAAG, ALMATY, AUSTRIA-Krumbach, AUSTRIA-OE3FLB, AUSTRIA-UNIGRAZ, BIR, EGYPT-SpaceAgency, FINLAND-Siuntio, GERMANY-DLR, GLASGOW, GREENLAND, HUMAIN, HURBANOVO, INDIA-GAURI, INDIA-OOTY, INDIA-UDAIPUR, MONGOLIA-UB, MRO, NORWAY-EGERSUND, ROMANIA, SPAIN-PERALEJOS, SPAIN-SIGUENZA, SWISS-HB9SCT, SWISS-HEITERSWIL, SWISS-IRSOL, SWISS-Landschlacht, USA-BOSTON",['100000']
4,20240401,13:47-13:48,III,"GLASGOW, GREENLAND",['134500']
5,20240401,20:03-20:10,III,"(ALASKA-COHOE), ALASKA-HAARP",['200000']
8,20240404,21:23-21:24,III,"ALASKA-COHOE, ALASKA-HAARP, MEXICO-LANCE",['211500']
9,20240404,22:17-22:17,III,MEXICO-LANCE,['221500']
12,20240407,02:41-02:41,III,Australia-ASSA,['023000']
13,20240407,10:18-10:19,III,"ALGERIA-CRAAG, BIR, EGYPT-Alexandria, EGYPT-SpaceAgency, GERMANY-DLR, GREENLAND, HUMAIN, INDIA-GAURI, INDIA-OOTY, NORWAY-EGERSUND, SWISS-HEITERSWIL, SWISS-Landschlacht, SWISS-MUHEN, TRIEST, USA-BOSTON",['101500']
14,20240407,18:36-18:37,RBR,"ALASKA-HAARP, GREENLAND, MEXICO-LANCE",['183000']
15,20240408,09:25-09:25,RBR,INDIA-GAURI,['091500']
16,20240409,19:30-19:34,III,"ALASKA-COHOE, ALASKA-HAARP, GREENLAND, MEXART, MEXICO-FCFM-UANL, MEXICO-LANCE, USA-ARIZONA-ERAU",['193000']
17,20240409,20:25-21:46,VI,"ALASKA-COHOE, ALASKA-HAARP, GREENLAND, MEXICO-LANCE","['201500', '203000', '204500', '210000', '211500', '213000', '214500']"
18,20240410,00:09-00:12,III,"ALASKA-COHOE, ALASKA-HAARP, Australia-ASSA",['000000']
19,20240410,18:08-18:09,III,"ALASKA-HAARP, GREENLAND",['180000']
20,20240410,21:06-21:06,III,"(ALASKA-COHOE), (ALASKA-HAARP)",['210000']
21,20240410,23:46-23:59,VI,"ALASKA-COHOE, ALASKA-HAARP",['234500']
22,20240411,00:02-00:09,III,"ALASKA-COHOE, ALASKA-HAARP, Australia-ASSA",['000000']
23,20240411,03:34-03:36,III,"ALASKA-COHOE, ALASKA-HAARP, Australia-ASSA, INDIA-OOTY",['033000']
24,20240411,03:54-03:54,III,Australia-ASSA,['034500']
25,20240411,04:27-04:27,III,Australia-ASSA,['041500']
26,20240411,04:39-04:40,III,Australia-ASSA,['043000']
27,20240411,04:51-04:56,III,"ALMATY, AUSTRIA-UNIGRAZ, Australia-ASSA, GERMANY-DLR, INDIA-OOTY, MRO, ROMANIA, SSRT",['044500']
28,20240411,05:01-05:05,III,"AUSTRIA-UNIGRAZ, Australia-ASSA, GERMANY-DLR, INDIA-OOTY, (ROMANIA)",['050000']
29,20240411,06:29-06:42,VI,"ALMATY, AUSTRIA-MICHELBACH, AUSTRIA-UNIGRAZ, Australia-ASSA, EGYPT-SpaceAgency, FINLAND-Siuntio, GERMANY-DLR, HUMAIN, INDIA-OOTY, Malaysia-Banting, SSRT, SWISS-Landschlacht, TRIEST","['061500', '063000']"
30,20240411,09:54-09:57,III,"ALMATY, AUSTRIA-UNIGRAZ, EGYPT-Alexandria, GERMANY-DLR, GREENLAND, HUMAIN, INDIA-OOTY, MRO, ROMANIA, SSRT, SWISS-HEITERSWIL, (SWISS-IRSOL), SWISS-Landschlacht, SWISS-MUHEN, TRIEST",['094500']
31,20240411,13:53-13:56,III,"GERMANY-DLR, GREENLAND, SWISS-HEITERSWIL, SWISS-Landschlacht, SWISS-MUHEN",['134500']
32,20240411,15:35-15:40,III,"ALASKA-HAARP, AUSTRIA-UNIGRAZ, GERMANY-DLR, GREENLAND, HUMAIN, MEXICO-LANCE, SWISS-HEITERSWIL, SWISS-Landschlacht, SWISS-MUHEN, TRIEST",['153000']
33,20240411,16:59-17:07,III,"ALASKA-ANCHORAGE, ALASKA-COHOE, ALASKA-HAARP, AUSTRIA-MICHELBACH, AUSTRIA-UNIGRAZ, FINLAND-Siuntio, GERMANY-DLR, GREENLAND, HURBANOVO, MEXART, MEXICO-FCFM-UANL, MEXICO-LANCE, ROSWELL-NM, SWISS-HEITERSWIL, SWISS-Landschlacht, SWISS-MUHEN, USA-BOSTON","['164500', '170000']"
34,20240411,18:31-18:32,III,"ALASKA-COHOE, ALASKA-HAARP, GREENLAND, MEXICO-LANCE",['183000']
35,20240411,20:29-20:31,III,"ALASKA-COHOE, ALASKA-HAARP","['201500', '203000']"
36,20240411,22:20-22:36,VI,"ALASKA-HAARP, MEXICO-LANCE","['221500', '223000']"
37,20240411,23:40-23:47,III,"ALASKA-COHOE, ALASKA-HAARP, KASI, MEXART, MEXICO-FCFM-UANL, MEXICO-LANCE, Malaysia-Banting, ROSWELL-NM","['233000', '234500']"
38,20240411,23:50-23:59,CTM,"ALASKA-COHOE, ALASKA-HAARP, Australia-ASSA, MEXICO-LANCE",['234500']
39,20240412,00:00-00:17,III,"ALASKA-COHOE, ALASKA-HAARP, Australia-ASSA","['000000', '001500']"
40,20240412,00:39-00:42,III,"ALASKA-COHOE, ALASKA-HAARP, Australia-ASSA, MEXICO-LANCE",['003000']
41,20240412,03:16-03:17,III,"Australia-ASSA, INDIA-GAURI, INDIA-OOTY, SSRT",['031500']
42,20240412,03:37-03:40,III,"Australia-ASSA, INDIA-GAURI, INDIA-OOTY, SSRT",['033000']
43,20240412,03:45-03:45,III,Australia-ASSA,['034500']
44,20240412,03:59-03:59,III,"Australia-ASSA, INDIA-GAURI, INDIA-OOTY",['034500']
