,Date,Time,Type,Stations
0,20240801,00:00-23:59,REM,"I'm very sorry but, due to severe thrombosis, triggered by too long sessions on the computer, I'm not in a position to list all stations any-more"
1,20240801,00:09-00:50,VI,"ALASKA-COHOE, ALASKA-HAARP, Australia-ASSA"
2,20240801,01:47-01:51,V,"ALASKA-ANCHORAGE, ALASKA-COHOE, ALASKA-HAARP, ALMATY, Australia-ASSA, INDIA-OOTY, KASI, MONGOLIA-UB, SSRT, TAIWAN-NCU"
3,20240801,02:49-02:50,III,"ALASKA-COHOE, ALASKA-HAARP, ALMATY, Australia-ASSA, INDIA-GAURI, INDIA-OOTY, MONGOLIA-UB, SSRT, TAIWAN-NCU"
4,20240801,04:39-04:40,DCIM,"GERMANY-DLR, NORWAY-NY-AALESUND, NORWAY-RANDABERG, USA-BOSTON"
5,20240801,04:39-04:40,III,"ALASKA-COHOE, ALASKA-HAARP, ALMATY, AUSTRIA-MICHELBACH, AUSTRIA-UNIGRAZ, Australia-ASSA, GERMANY-DLR, HUMAIN, INDIA-GAURI, INDIA-OOTY, MRO, SSRT, TAIWAN-NCU"
6,20240801,05:55-05:56,III,"Australia-ASSA, GERMANY-DLR, HUMAIN, INDIA-GAURI, INDIA-OOTY, KASI, SSRT, SWISS-CalU, SWISS-Landschlacht"
7,20240801,06:52-06:52,III,"GERMANY-DLR, *"
8,20240801,07:01-07:09,III,"ALMATY, AUSTRIA-MICHELBACH, AUSTRIA-OE3FLB, AUSTRIA-UNIGRAZ, Australia-ASSA, BIR, EGYPT-Alexandria, EGYPT-SpaceAgency, GERMANY-DLR, GLASGOW, HUMAIN, HURBANOVO, INDIA-GAURI, INDIA-OOTY, ITALY-Strassolt, KASI, MONGOLIA-UB, MRO, NORWAY-EGERSUND, SSRT, SWISS-CalU, SWISS-HEITERSWIL, SWISS-IRSOL, SWISS-Landschlacht, SWISS-MUHEN, TAIWAN-NCU, TRIEST "
9,20240801,07:08-07:53,IV,INDIA-GAURI
10,20240801,07:12-07:14,II,"ALMATY, AUSTRIA-UNIGRAZ, Australia-ASSA, BIR, EGYPT-Alexandria, GERMANY-DLR, GLASGOW, HUMAIN, INDIA-GAURI, INDIA-OOTY, MONGOLIA-UB, MRO, NORWAY-EGERSUND, SSRT, SWISS-CalU, SWISS-HEITERSWIL, (SWISS-IRSOL), SWISS-Landschlacht, SWISS-MUHEN, TAIWAN-NCU, TRIEST"
11,20240801,08:06-08:07,III,"GERMANY-DLR, *"
12,20240801,11:24-11:28,III,"GLASGOW, *"
13,20240801,12:13-12:49,VI,"USA-BOSTON, *"
14,20240802,00:43-00:45,III,"ALASKA-ANCHORAGE, *"
15,20240802,00:52-00:54,III,"ALASKA-COHOE, *"
16,20240802,01:49-01:50,III,"ALASKA-HAARP, *"
17,20240802,02:33-02:34,III,"ALMATY, *"
18,20240802,03:55-03:56,III,"AUSTRIA-MICHELBACH, *"
19,20240802,04:29-04:31,III,"FINLAND-Siuntio, *"
20,20240802,04:43-04:43,III,"ALMATY, *"
