Two-Digit-Code,Station Name,Frequency Range
24,BLEN7M,110 MHz-870 MHz
25,BLEN7M,110 MHz-870 MHz
57,BLENA,1150 MHz-1750 MHz
00,BINGO-8BIT,950-1450 MHz
01,BINGO-8BIT,950-1450 MHz
58,BLEN5M,45 MHz-870 MHz
58,BLEN5M,~2-3 GHz
59,BLEN5M,~1-2 GHz
59,BLENSW,20 MHz - 90 MHz
01,BLENSW,8 MHz - 80 MHz
02,BLENSW,20 MHz - 80 MHz
60,BLENSW,8 MHz - 80 MHz
59,BOSSCHA-ITB,45 MHz-870MHz
59,BULGARIA-StARTER,45 MHz-870MHz
59,ACCIMT-SRI,45 MHz-870MHz
01,ALASKA-ANCHORAGE,250 MHz - 450 MHz
59,ALASKA,45 MHz-870MHz
60,ALASKA,45 MHz-870MHz
00,ALASKA,45 MHz-93MHz
01,ALASKA,45 MHz-93MHz
00,ALASKA-COHOE,45 MHz-93MHz
63,ALASKA-COHOE,45 MHz-93MHz
62,ALASKA-COHOE,45 MHz-93MHz
62,ALASKA-HAARP,10 MHz-82MHz
63,ALASKA-HAARP,10 MHz-82MHz
59,ALGERIA-CRAAG,45 MHz-870MHz
58,ALMATY,45 MHz-160MHz
59,ALMATY,180 MHz-870MHz
01,AUSTRIA-UNIGRAZ,45 MHz-82MHz
02,AUSTRIA-UNIGRAZ,45 MHz-870MHz
55,AUSTRIA,45 MHz-870MHz
57,AUSTRIA,45 MHz-95MHz
59,AUSTRIA,45 MHz-870MHz
60,AUSTRIA-MICHELBACH,250 MHz - 450 MHz
59,AUSTRIA-Krumbach,45 MHz-870 MHz
55,AUSTRIA-OE3FLB,45 MHz-870MHz
57,AUSTRIA-OE3FLB,45 MHz-95MHz
01,Arecibo-Observatory,10 MHZ-80 MHz
02,Arecibo-Observatory,10 MHZ-80 MHz
56,Australia-ASSA,15 MHz-85 MHz
57,Australia-ASSA,15 MHz-85 MHz
63,Australia-ASSA,15 MHz-85 MHz
62,Australia-ASSA,15 MHz-85 MHz
60,Australia-ASSA,45 MHz-520 MHz
59,Australia-LMRO,45 MHz-870 MHz
00,ASSERT,
01,BINGO,950 MHz-1450 MHz
01,BIR,10 MHz-100 MHz
02,BIR,100 MHz-200 MHz
03,BIR,200 MHz-400 MHz
04,BIR,
05,BIR,
20,BIR,20 MHz- 90 MHz
59,BIR,45 MHz-870 MHz
01,BRAZIL,45 MHz-870 MHz
02,BRAZIL,45 MHz-870 MHz
59,CALLISTO_MEX,45 MHz-870 MHz
59,CINESPA,45 MHz-870 MHz
59,CONIDA_PL,45 MHz-870 MHz
59,CONIDA_SI,45 MHz-870 MHz
59,CPH,45 MHz-870 MHz
59,CPH-NS,45 MHz-100 MHz
59,CPH-EW,45 MHz-100 MHz
03,Croatia-Visnjan,45 MHz-400 MHz
58,DRAO,10 MHz- 80 MHz
59,DRAO,45 MHz-460 MHz
58,DARO-HF,30 MHz-90 MHz
59,DARO-VHF,100 MHz-450 MHz
62,DENMARK,45 MHz-100 MHz
63,DENMARK,45 MHz-100 MHz
59,EA4RKU,45 MHz-870 MHz
01,EGYPT,45 MHz-150 MHz
01,EGYPT-Alexandria,10 MHZ-82 MHz
21,EGYPT-Alexandria,10 MHZ-82 MHz
01,EGYPT-SpaceAgency,45 MHZ-870 MHz
58,ESSEN,20 MHz-80 MHz
01,ETHIOPIA,45 MHz-870 MHz
59,eC23,45 MHz-870 MHz
59,eC71,45 MHz-90 MHz
59,FFT,
01,FINLAND-Siuntio,80 MHz-180 MHz
01,Finland-Kempele,45 MHz-870 MHz
L1,FRB,45 MHz-870 MHz
59,FREI,45 MHz-870 MHz
01,GERMANY-DLR,1 GHz-1.6 GHz
02,GERMANY-DLR,45 MHz-870 MHz
03,GERMANY-DLR,800 MHz-1000 MHz
62,GERMANY-DLR,10 MHz-80 MHz
63,GERMANY-DLR,10 MHz-80 MHz
01,Germany-Hildesheim,150 MHz-870 MHz
01,Germany_Kiel,220 MHz-320 MHz
59,GAURI,45 MHz-870 MHz
01,GLASGOW, 45 MHz-82 MHz
62,GREENLAND,10 MHz-110 MHz
63,GREENLAND,10 MHz-110 MHz
59,HB9SCT,45 MHz-870 MHz
60,HB9SCT,5 MHz-90 MHz
60,HB9SCTX,5 MHz-90 MHz
59,Heiterswil-CH,45 MHz-82 MHz
59,HERCLS1,45 MHz-870 MHz
59,HIMap,980 MHz-1260 MHz
59,HUMAIN,45 MHz-450 MHz
59,HURBANOVO,45 MHz-870 MHz
59,IISERP,45 MHz-870 MHz
59,INDIA-GAURI,45 MHz-410 MHz
59,INDIA-IISERP,45 MHz-870 MHz
01,INDIA-KODAIKANAL,45 MHz-170 MHz
02,INDIA-KODAIKANAL,45 MHz-170 MHz
09,INDIA-KSV,45 MHz-870 MHz
59,INDIA-Nashik,45 MHz-870 MHz
58,INDIA-OOTY,45 MHz-450 MHz
59,INDIA-OOTY,45 MHz-450 MHz
01,INDIA-SANGLI,45 MHz-870 MHz
01,INDIA-UDAIPUR,45 MHz-870 MHz
59,INDONESIA,45 MHz-870 MHz
60,INDONESIA,45 MHz-870 MHz
61,INDONESIA,45 MHz-870 MHz
58,INPE,45 MHz-870 MHz
59,INPE,45 MHz-870 MHz
01,ITALY-Strassolt,45 MHz-82 MHz
59,JAPAN-IBARAKI,100 MHz-870 MHz
59,KASI,45 MHz-870 MHz
59,KENYA,45 MHz-170 MHz
